,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.7244897959183674,0.5185185185185185,0.17073170731707318,0.25688073394495414,0.6299470777726645
Decision Tree,0.6870748299319728,0.38095238095238093,0.1951219512195122,0.25806451612903225,0.5275540727105384
Random Forest,0.7244897959183674,1.0,0.012195121951219513,0.024096385542168676,0.6344339622641509
Gradient Boosting,0.6836734693877551,0.36585365853658536,0.18292682926829268,0.24390243902439024,0.6035434882650713
SVM,0.717687074829932,0.3333333333333333,0.012195121951219513,0.023529411764705882,0.6328232857800277
